Id,updatedtime,device_id
211,1143,"0.45120000000000005,6016,""2024-08-09 23:59:03"",""{""V1"": ""12959295.00"", ""V9"": {""B"": ""4243056.00"", ""R"": ""4379796.00"", ""Y"": ""4336442.50""}}"",204.7,199.5,197.5,NULL,NULL,NULL,NULL,NULL"
212,1145,"0.200625,2675,""2024-08-09 23:59:03"",""{""V1"": ""4812770.00"", ""V9"": {""B"": ""1603136.87"", ""R"": ""1578782.75"", ""Y"": ""1630850.37""}}"",88.6,89.7,89.2,NULL,NULL,NULL,NULL,NULL"
213,1146,"0.06284999999999999,838,""2024-08-09 23:59:03"",""{""V1"": ""4533008.00"", ""V9"": {""B"": ""1503448.87"", ""R"": ""1490681.62"", ""Y"": ""1538878.00""}}"",27.8,28.1,27.8,NULL,NULL,NULL,NULL,NULL"
214,1147,"0.07282499999999999,971,""2024-08-09 23:59:03"",""{""V1"": ""259431.63"", ""V9"": {""B"": ""86132.65"", ""R"": ""86515.17"", ""Y"": ""86783.80""}}"",32.5,32.5,32.1,NULL,NULL,NULL,NULL,NULL"
215,1148,"0.00007500000000000001,1,""2024-08-09 23:59:03"",""{""V1"": ""732.37"", ""V9"": {""B"": ""208.04"", ""R"": ""319.97"", ""Y"": ""204.36""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
216,1149,"0,0,""2024-08-09 23:59:03"",""{""V1"": ""33326.35"", ""V9"": {""B"": ""10924.41"", ""R"": ""11035.63"", ""Y"": ""11366.31""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
217,1151,"0.0048000000000000004,64,""2024-08-09 23:59:03"",""{""V1"": ""67721.60"", ""V9"": {""B"": ""0.00"", ""R"": ""67723.28"", ""Y"": ""0.00""}}"",6.4,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
234,1143,"0.66195,8826,""2024-08-10 23:59:03"",""{""V1"": ""13841922.00"", ""V9"": {""B"": ""4536576.00"", ""R"": ""4677682.00"", ""Y"": ""4627664.00""}}"",297.9,291.2,293.5,NULL,NULL,NULL,NULL,NULL"
235,1145,"0.24,3200,""2024-08-10 23:59:03"",""{""V1"": ""5132721.00"", ""V9"": {""B"": ""1711302.37"", ""R"": ""1684130.25"", ""Y"": ""1737360.00""}}"",105.3,106.5,108.2,NULL,NULL,NULL,NULL,NULL"
236,1146,"0.23985000000000004,3198,""2024-08-10 23:59:03"",""{""V1"": ""4852784.50"", ""V9"": {""B"": ""1611075.87"", ""R"": ""1596201.62"", ""Y"": ""1645573.50""}}"",105.5,106.7,107.6,NULL,NULL,NULL,NULL,NULL"
237,1147,"0,0,""2024-08-10 23:59:03"",""{""V1"": ""259431.63"", ""V9"": {""B"": ""86132.65"", ""R"": ""86515.17"", ""Y"": ""86783.80""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
238,1148,"0,0,""2024-08-10 23:59:03"",""{""V1"": ""738.75"", ""V9"": {""B"": ""209.31"", ""R"": ""322.98"", ""Y"": ""206.47""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
239,1149,"0.011550000000000001,154,""2024-08-10 23:59:03"",""{""V1"": ""48734.23"", ""V9"": {""B"": ""16047.18"", ""R"": ""16135.43"", ""Y"": ""16554.70""}}"",5.1,5.2,5.1,NULL,NULL,NULL,NULL,NULL"
240,1151,"0.005550000000000001,74,""2024-08-10 23:59:03"",""{""V1"": ""75095.54"", ""V9"": {""B"": ""0.00"", ""R"": ""75097.61"", ""Y"": ""0.00""}}"",7.4,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
257,1143,"0,0,""2024-08-11 23:59:03"",""{""V1"": ""13841922.00"", ""V9"": {""B"": ""4536576.00"", ""R"": ""4677682.00"", ""Y"": ""4627664.00""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
274,1143,"1.470525,19607,""2024-08-12 23:59:03"",""{""V1"": ""15802618.00"", ""V9"": {""B"": ""5187865.00"", ""R"": ""5332722.50"", ""Y"": ""5282197.00""}}"",655.0,654.5,651.3,NULL,NULL,NULL,NULL,NULL"
275,1145,"0.13964999999999997,1862,""2024-08-12 23:59:03"",""{""V1"": ""5891827.50"", ""V9"": {""B"": ""1967291.12"", ""R"": ""1931291.25"", ""Y"": ""1993350.12""}}"",61.2,62.3,62.7,NULL,NULL,NULL,NULL,NULL"
276,1146,"0.137625,1835,""2024-08-12 23:59:03"",""{""V1"": ""5609101.00"", ""V9"": {""B"": ""1865014.25"", ""R"": ""1842964.50"", ""Y"": ""1901195.62""}}"",60.4,61.6,61.5,NULL,NULL,NULL,NULL,NULL"
277,1147,"0,0,""2024-08-12 23:59:03"",""{""V1"": ""259431.63"", ""V9"": {""B"": ""86132.65"", ""R"": ""86515.17"", ""Y"": ""86783.80""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
278,1148,"0.0032249999999999996,43,""2024-08-12 23:59:03"",""{""V1"": ""16942.82"", ""V9"": {""B"": ""5355.31"", ""R"": ""8390.19"", ""Y"": ""3200.54""}}"",2.1,0.7,1.4,NULL,NULL,NULL,NULL,NULL"
279,1149,"0,0,""2024-08-12 23:59:03"",""{""V1"": ""54410.75"", ""V9"": {""B"": ""17942.96"", ""R"": ""17977.10"", ""Y"": ""18490.70""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
280,1151,"0.00345,46,""2024-08-12 23:59:03"",""{""V1"": ""94243.82"", ""V9"": {""B"": ""0.00"", ""R"": ""94245.21"", ""Y"": ""0.00""}}"",4.6,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
297,1143,"0.5675250000000001,7567,""2024-08-13 23:59:03"",""{""V1"": ""16559318.00"", ""V9"": {""B"": ""5438179.00"", ""R"": ""5588024.00"", ""Y"": ""5533115.00""}}"",255.3,250.9,250.3,NULL,NULL,NULL,NULL,NULL"
298,1145,"0.124125,1655,""2024-08-13 23:59:03"",""{""V1"": ""6057313.50"", ""V9"": {""B"": ""2023015.75"", ""R"": ""1985123.63"", ""Y"": ""2049173.62""}}"",53.8,55.8,55.7,NULL,NULL,NULL,NULL,NULL"
299,1146,"0.21427499999999997,2857,""2024-08-13 23:59:03"",""{""V1"": ""5894825.00"", ""V9"": {""B"": ""1960924.00"", ""R"": ""1936729.37"", ""Y"": ""1997264.87""}}"",93.8,96.1,95.9,NULL,NULL,NULL,NULL,NULL"
300,1147,"0.049425000000000004,659,""2024-08-13 23:59:03"",""{""V1"": ""325295.69"", ""V9"": {""B"": ""108170.93"", ""R"": ""108490.44"", ""Y"": ""108685.61""}}"",11.5,11.4,11.5,NULL,NULL,NULL,NULL,NULL"
301,1148,"0.0016500000000000002,22,""2024-08-13 23:59:03"",""{""V1"": ""19108.34"", ""V9"": {""B"": ""6057.35"", ""R"": ""9460.69"", ""Y"": ""3590.30""}}"",1.1,0.4,0.7,NULL,NULL,NULL,NULL,NULL"
302,1149,"0.0045,60,""2024-08-13 23:59:03"",""{""V1"": ""60423.44"", ""V9"": {""B"": ""19931.04"", ""R"": ""19975.55"", ""Y"": ""20519.96""}}"",2.0,2.0,2.0,NULL,NULL,NULL,NULL,NULL"
303,1151,"0.005025,67,""2024-08-13 23:59:03"",""{""V1"": ""100931.85"", ""V9"": {""B"": ""0.00"", ""R"": ""100933.24"", ""Y"": ""0.00""}}"",5.4,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
320,1143,"0,0,""2024-08-14 23:59:03"",""{""V1"": ""16559318.00"", ""V9"": {""B"": ""5438179.00"", ""R"": ""5588024.00"", ""Y"": ""5533115.00""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
322,1154,"0.00030000000000000003,4,""2024-08-14 23:59:03"",""{""V1"": ""2047470.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
324,1156,"0.00007500000000000001,1,""2024-08-14 23:59:03"",""{""V1"": ""747900.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
325,1157,"0,0,""2024-08-14 23:59:03"",""{""V1"": ""402110.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
326,1158,"0.0010499999999999997,14,""2024-08-14 23:59:03"",""{""V1"": ""1359750.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
327,1159,"0.002625,35,""2024-08-14 23:59:03"",""{""V1"": ""3318760.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
328,1160,"0.00007500000000000001,1,""2024-08-14 23:59:03"",""{""V1"": ""736870.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
329,1161,"0.000375,5,""2024-08-14 23:59:03"",""{""V1"": ""1276350.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
330,1162,"0.00022499999999999997,3,""2024-08-14 23:59:03"",""{""V1"": ""3547640.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
331,1163,"0,0,""2024-08-14 23:59:03"",""{""V1"": ""659310.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
333,1165,"0.00044999999999999993,6,""2024-08-14 23:59:03"",""{""V1"": ""1101840.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
334,1166,"0.0014249999999999998,19,""2024-08-14 23:59:03"",""{""V1"": ""2535010.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
335,1167,"0.00044999999999999993,6,""2024-08-14 23:59:03"",""{""V1"": ""1283150.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
336,1168,"0.0005249999999999999,7,""2024-08-14 23:59:03"",""{""V1"": ""1949530.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
338,1170,"0,0,""2024-08-14 23:59:03"",""{""V1"": ""7950.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
339,1143,"0,0,""2024-08-15 23:59:03"",""{""V1"": ""16559318.00"", ""V9"": {""B"": ""5438179.00"", ""R"": ""5588024.00"", ""Y"": ""5533115.00""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
341,1154,"0.0012000000000000001,16,""2024-08-15 23:59:03"",""{""V1"": ""2049079.87""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
343,1156,"0.000375,5,""2024-08-15 23:59:03"",""{""V1"": ""748380.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
344,1157,"0,0,""2024-08-15 23:59:03"",""{""V1"": ""402110.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
345,1158,"0.003974999999999999,53,""2024-08-15 23:59:03"",""{""V1"": ""1365080.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
346,1159,"0.007949999999999999,106,""2024-08-15 23:59:03"",""{""V1"": ""3329390.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
347,1160,"0.00015000000000000001,2,""2024-08-15 23:59:03"",""{""V1"": ""737090.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
348,1161,"0.0031500000000000005,42,""2024-08-15 23:59:03"",""{""V1"": ""1280580.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
349,1162,"0.0006000000000000001,8,""2024-08-15 23:59:03"",""{""V1"": ""3548490.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
350,1163,"0,0,""2024-08-15 23:59:03"",""{""V1"": ""659310.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
352,1165,"0.0014249999999999998,19,""2024-08-15 23:59:03"",""{""V1"": ""1103690.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
353,1166,"0.008399999999999998,112,""2024-08-15 23:59:03"",""{""V1"": ""2546220.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
354,1167,"0.0027,36,""2024-08-15 23:59:03"",""{""V1"": ""1286720.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
355,1168,"0.0024749999999999998,33,""2024-08-15 23:59:03"",""{""V1"": ""1952860.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
356,1143,"0,0,""2024-08-16 23:59:03"",""{""V1"": ""16559318.00"", ""V9"": {""B"": ""5438179.00"", ""R"": ""5588024.00"", ""Y"": ""5533115.00""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
358,1154,"0.006975,93,""2024-08-16 23:59:03"",""{""V1"": ""2058429.87""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
360,1156,"0.004199999999999999,56,""2024-08-16 23:59:03"",""{""V1"": ""754000.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
361,1157,"0.003375,45,""2024-08-16 23:59:03"",""{""V1"": ""406580.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
362,1158,"0.011925000000000002,159,""2024-08-16 23:59:03"",""{""V1"": ""1380990.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
363,1159,"0.016200000000000003,216,""2024-08-16 23:59:03"",""{""V1"": ""3350980.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
364,1160,"0,0,""2024-08-16 23:59:03"",""{""V1"": ""737090.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
365,1161,"0.009824999999999999,131,""2024-08-16 23:59:03"",""{""V1"": ""1293640.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
366,1162,"0.006600000000000001,88,""2024-08-16 23:59:03"",""{""V1"": ""3557310.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
367,1163,"0.0045,60,""2024-08-16 23:59:03"",""{""V1"": ""665310.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
369,1165,"0.006375,85,""2024-08-16 23:59:03"",""{""V1"": ""1112210.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
370,1166,"0.014399999999999998,192,""2024-08-16 23:59:03"",""{""V1"": ""2565380.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
371,1167,"0.0045,60,""2024-08-16 23:59:03"",""{""V1"": ""1292770.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
372,1168,"0.005699999999999999,76,""2024-08-16 23:59:03"",""{""V1"": ""1960490.00""}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
